Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","854","Burkina Faso","60850","Number","270066","Holdings without land","2010","2006-2010","No","74583","A","Official figure",""
"WCAD","Structural data from agricultural censuses","854","Burkina Faso","60850","Number","270030","Holdings with land size 0-<1","2010","2006-2010","No","151955","A","Official figure",""
"WCAD","Structural data from agricultural censuses","854","Burkina Faso","60850","Number","270031","Holdings with land size 1-<2","2010","2006-2010","No","236822","A","Official figure",""
"WCAD","Structural data from agricultural censuses","854","Burkina Faso","60850","Number","270032","Holdings with land size 2-<3","2010","2006-2010","No","199795","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","854","Burkina Faso","60850","Number","270034","Holdings with land size 3-<4","2010","2006-2010","No","169495","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","854","Burkina Faso","60850","Number","270035","Holdings with land size 4-<5","2010","2006-2010","No","145270","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","854","Burkina Faso","60850","Number","270036","Holdings with land size 5-<10","2010","2006-2010","No","262004","A","Official figure",""
"WCAD","Structural data from agricultural censuses","854","Burkina Faso","60850","Number","270037","Holdings with land size 10-<20","2010","2006-2010","No","75144","A","Official figure",""
"WCAD","Structural data from agricultural censuses","854","Burkina Faso","60850","Number","270038","Holdings with land size 20-<50","2010","2006-2010","No","13901","A","Official figure",""
"WCAD","Structural data from agricultural censuses","854","Burkina Faso","60850","Number","270039","Holdings with land size 50-<100","2010","2006-2010","No","471","A","Official figure",""
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","270066","Holdings without land","2010","2015","No","11506","A","Official figure",""
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","270030","Holdings with land size 0-<1","2010","2015","No","23005","A","Official figure",""
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","270031","Holdings with land size 1-<2","2010","2015","No","7019","A","Official figure",""
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","270032","Holdings with land size 2-<3","2010","2015","No","1361","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","270034","Holdings with land size 3-<4","2010","2015","No","1149","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","270035","Holdings with land size 4-<5","2010","2015","No","995","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","270036","Holdings with land size 5-<10","2010","2015","No","380","A","Official figure",""
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","270037","Holdings with land size 10-<20","2010","2015","No","90","A","Official figure",""
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","270038","Holdings with land size 20-<50","2010","2015","No","23","A","Official figure",""
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","270039","Holdings with land size 50-<100","2010","2015","No","7","A","Official figure",""
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","2700300","Holdings with land size 100-<200","2010","2015","No","1","A","Official figure",""
"WCAD","Structural data from agricultural censuses","132","Cabo Verde","60850","Number","2700301","Holdings with land size 200-<500","2010","2015","No","3","A","Official figure",""
"WCAD","Structural data from agricultural censuses","178","Congo","60850","Number","270030","Holdings with land size 0-<1","2010","2014-2015","No","145268","A","Official figure",""
"WCAD","Structural data from agricultural censuses","178","Congo","60850","Number","270031","Holdings with land size 1-<2","2010","2014-2015","No","63257","A","Official figure",""
"WCAD","Structural data from agricultural censuses","178","Congo","60850","Number","270032","Holdings with land size 2-<3","2010","2014-2015","No","28684","A","Official figure",""
"WCAD","Structural data from agricultural censuses","178","Congo","60850","Number","270034","Holdings with land size 3-<4","2010","2014-2015","No","9939","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","178","Congo","60850","Number","270035","Holdings with land size 4-<5","2010","2014-2015","No","7092","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","178","Congo","60850","Number","270036","Holdings with land size 5-<10","2010","2014-2015","No","7080","A","Official figure",""
"WCAD","Structural data from agricultural censuses","178","Congo","60850","Number","270037","Holdings with land size 10-<20","2010","2014-2015","No","3454","A","Official figure",""
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270066","Holdings without land","2010","2009-2010","No","964863","A","Official figure",""
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270030","Holdings with land size 0-<1","2010","2009-2010","No","3428424","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270031","Holdings with land size 1-<2","2010","2009-2010","No","622844","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270032","Holdings with land size 2-<3","2010","2009-2010","No","196031","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270034","Holdings with land size 3-<4","2010","2009-2010","No","49058","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270035","Holdings with land size 4-<5","2010","2009-2010","No","36551","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270036","Holdings with land size 5-<10","2010","2009-2010","No","72897","E","Estimated value","Interpolated data"
