,GID_0,NAME_0,NAME_1,LANDLESS,A0.1,A1.2,A2.5,A5.10,A10.20,A20.,A0.2,A0.5,A0.10,A0.20,N0.1,N1.2,N2.5,N5.10,N10.20,N20.,N0.2,N0.5,N0.10,N0.20,PA0.1,PA1.2,PA2.5,PA5.10,PA10.20,PA20.,PA0.2,PA0.5,PA0.10,PA0.20,PN0.1,PN1.2,PN2.5,PN5.10,PN10.20,PN20.,PN0.2,PN0.5,PN0.10,PN0.20
1,DZA,Algeria,Adrar,NA,5837,4056,4938,1214,299,16970,9893,14831,16045,16344,16373,3175,1787,213,25,122,19548,21335,21548,21573,0.175211623,0.121750615,0.148225971,0.036441136,0.008975206,0.509395449,0.296962238,0.445188209,0.481629345,0.490604551,0.754690021,0.146347085,0.082369209,0.00981793,0.001152339,0.005623416,0.901037105,0.983406315,0.993224245,0.994376584
2,DZA,Algeria,Aïn Defla,NA,769,3019,21285,38183,48689,68003,3788,25073,63256,111945,1598,2369,6749,5690,3832,1736,3967,10716,16406,20238,0.004273457,0.016777069,0.118284171,0.212189077,0.27057261,0.377903617,0.021050526,0.139334697,0.351523774,0.622096383,0.072722308,0.107809229,0.307135706,0.258942386,0.174387913,0.079002457,0.180531537,0.487667243,0.74660963,0.920997543
3,DZA,Algeria,Aïn Témouchent,NA,186,828,4765,14397,69666,67419,1014,5779,20176,89842,336,660,1556,1982,4924,1835,996,2552,4534,9458,0.001182747,0.005265132,0.030299947,0.091548445,0.442996038,0.42870769,0.00644788,0.036747827,0.128296272,0.57129231,0.029752944,0.058443283,0.137784468,0.175506951,0.436022315,0.162490038,0.088196228,0.225980696,0.401487647,0.837509962
4,DZA,Algeria,Alger,NA,453,1189,4758,6848,8746,12750,1642,6400,13248,21994,862,882,1545,1003,645,363,1744,3289,4292,4937,0.013038222,0.034221736,0.136944508,0.19709878,0.251726917,0.366969837,0.047259959,0.184204467,0.381303247,0.633030163,0.162641509,0.166415094,0.291509434,0.189245283,0.121698113,0.068490566,0.329056604,0.620566038,0.809811321,0.931509434
5,DZA,Algeria,Annaba,NA,114,453,3509,8727,11434,18011,567,4076,12803,24237,244,367,1121,1276,875,452,611,1732,3008,3883,0.002698353,0.010722401,0.083057186,0.206565991,0.27064003,0.426316039,0.013420754,0.09647794,0.303043931,0.573683961,0.056286044,0.084659746,0.258592849,0.294348328,0.201845444,0.104267589,0.14094579,0.399538639,0.693886967,0.895732411
6,DZA,Algeria,Batna,NA,1509,6256,34809,60736,87552,181487,7765,42574,103310,190862,4087,5123,11479,9123,6571,4596,9210,20689,29812,36383,0.00405265,0.016801442,0.093484876,0.163115787,0.235134242,0.487411004,0.020854091,0.114338967,0.277454753,0.512588996,0.09973401,0.125015252,0.280119085,0.222626223,0.160350423,0.112155006,0.224749262,0.504868347,0.72749457,0.887844994
7,DZA,Algeria,Béchar,NA,643,1595,4873,1738,324,503,2238,7111,8849,9173,1373,1252,1721,315,28,13,2625,4346,4661,4689,0.06645308,0.164840843,0.503617197,0.179619678,0.033484911,0.051984291,0.231293923,0.73491112,0.914530798,0.948015709,0.292003403,0.266269672,0.366014462,0.066992769,0.005954913,0.002764781,0.558273075,0.924287537,0.991280306,0.997235219
8,DZA,Algeria,Béjaïa,NA,4855,11300,30365,20664,10577,6109,16155,46520,67184,77761,10672,8797,10476,3251,839,160,19469,29945,33196,34035,0.057887206,0.134732324,0.362048408,0.246381304,0.12611184,0.072838917,0.19261953,0.554667938,0.801049243,0.927161083,0.312092411,0.257259833,0.306360579,0.095072379,0.024535751,0.004679047,0.569352244,0.875712824,0.970785203,0.995320953
9,DZA,Algeria,Biskra,NA,2609,6869,20403,26230,39365,61009,9478,29881,56111,95476,6511,5683,6976,3911,3144,1600,12194,19170,23081,26225,0.016672525,0.043895581,0.130383104,0.1676199,0.251557657,0.389871234,0.060568106,0.190951209,0.358571109,0.610128766,0.233998203,0.204240791,0.250709793,0.140557053,0.112991914,0.057502246,0.438238994,0.688948787,0.82950584,0.942497754
10,DZA,Algeria,Blida,NA,543,1328,6194,9462,14302,27579,1871,8065,17527,31829,1210,1018,2028,1392,1050,761,2228,4256,5648,6698,0.009140183,0.022353892,0.104262052,0.159271479,0.240741988,0.464230407,0.031494075,0.135756127,0.295027606,0.535769593,0.162220137,0.136479421,0.271886312,0.18662019,0.14076954,0.1020244,0.298699558,0.570585869,0.75720606,0.8979756
